"",,,,"Total population (1000 inhab)",,,,"Population density (inhab/km2)",,,,"GDP per capita (current US$/inhab)",,,,"Agriculture, value added to GDP (current US$)",,,,"Industry, value added to GDP (current US$)",,,,"Services, value added to GDP (current US$)",,,,"Total internal renewable water resources per capita (m3/inhab/yr)",,,,"Total renewable water resources (10^9 m3/yr)",,,,"Agricultural water withdrawal (10^9 m3/year)",,,,"Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,,"Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,,"Total water withdrawal (10^9 m3/yr)",,,,"Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,"Total freshwater withdrawal (10^9 m3/yr)",,,,"SDG 6.4.2. Water Stress (%)",,,,"SDG 6.4.1. Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,,"Total population with access to safe drinking-water (JMP) (%)",,,,"Rural population with access to safe drinking-water (JMP) (%)",,,,"Urban population with access to safe drinking-water (JMP) (%)",,
"2018-2022","Mali","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,19077.749,"X",,2018,15.3829243906,"E",,2018,898.685409,"X",,2018,6.562451195E9,"X",,2018,3.307032813E9,"X",,2018,6.565252514E9,"X",,2018,3145.0251284887,"E",,2018,120.0,"E",,2018,5.075,"I",,2018,0.004,"I",,2018,0.107,"I",,2018,5.186,"I",,2018,271.8350052724,"E",,2018,5.186,"I",,2018,8.0030864198,"E",,2018,1.8586352906,"E",,2018,0.0474176205,"E",,2018,787.058949821,"E",,2018,58.4112373204,"E",,2018,77.0,"I",,2018,64.1,"I",,2018,96.5,"I",
"2018-2022","Mauritania","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,4403.313,"X",,2018,4.2721577569,"E",,2018,1678.315035,"X",,2018,1.657216851E9,"X",,2018,1.619078755E9,"X",,2018,3.592270135E9,"X",,2018,90.8406919971,"E",,2018,11.4,"E",,2018,1.223,"I",,2018,0.0318,"I",,2018,0.0954,"I",,2018,1.3502,"E",,2018,306.6327558363,"E",,2018,1.3482,"E",,2018,13.2462173315,"E",,2018,3.9326571905,"I",,2018,0.3522407379,"E",,2018,47.6682204455,"E",,2018,35.2540241719,"E",,2018,57.9,"I",,2018,57.1,"I",,2018,58.4,"I",
"2018-2022","Niger","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,22442.822,"X",,2018,17.713355959,"E",,2018,574.639399,"X",,2018,4.927947525E9,"X",,2018,2.115046342E9,"X",,2018,5.052746232E9,"X",,2018,155.9518673721,"E",,2018,34.05,"E",,2018,1.536,"I",,2018,0.036,"I",,2018,0.1789,"I",,2018,1.7509,"E",,2018,78.0160355948,"E",,2018,1.7472,"I",,2018,7.4539249147,"E",,2018,3.6665557327,"E",,2018,0.0047928565,"E",,2018,52.5597488619,"E",,2018,25.2669628045,"E",,2018,58.2,"I",,2018,48.6,"I",,2018,100.0,"I",
"2018-2022","Senegal","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,15854.323,"X",,2018,80.5974429363,"E",,2018,1461.174722,"X",,2018,3.744915407E9,"X",,2018,5.075016606E9,"X",,2018,1.2817977129E10,"X",,2018,1627.3164107985,"E",,2018,38.97,"E",,2018,2.065,"I",,2018,0.058,"I",,2018,0.098,"I",,2018,2.221,"I",,2018,140.0879747435,"E",,2018,2.22095,"I",,2018,11.8072833599,"E",,2018,7.5709066225,"E",,2018,0.0952895027,"E",,2018,81.2663449864,"E",,2018,121.477171188,"E",,2018,78.5,"I",,2018,67.3,"I",,2018,92.9,"I",
"2018-2022","Somalia","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,15008.226,"X",,2018,23.5364081172,"E",,2018,98.437155,"X",,2018,7.902773059E8,"X",,2018,9.462121558E7,"X",,2018,4.282505913E8,"X",,2018,399.7807602311,"E",,2018,14.7,"E",,2018,3.281,"I",,2018,0.002,"I",,2018,0.015,"I",,2018,3.298,"I",,2018,219.7461578737,"E",,2018,3.298,"I",,2018,24.527740592,"E",,2018,0.1904492488,"I",,2018,0.0313828134,"E",,2018,47.5153514394,"E",,2018,28.6735939363,"E",,2018,31.7,"I",,2018,8.8,"I",,2018,69.6,"I",
"2018-2022","South Sudan","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,10975.927,"X",,2018,17.3147391359,"E",,2018,635.254613,"X",,2018,1.558136595E8,"X",,2018,4.243811556E9,"X",,2018,3.692887499E9,"X",,2018,2368.8204194507,"E",,2018,49.5,"E",,2018,0.24,"I",,2018,0.225,"I",,2018,0.193,"I",,2018,0.658,"I",,2018,59.9493783076,"E",,2018,0.658,"I",,2018,4.2260757868,"E",,2018,15.7408856999,"I",,2018,0.0172635869,"E",,2018,24.6045233169,"E",,2018,24.9603201212,"E",,2018,58.7,"I",,2018,56.9,"I",,2018,66.7,"I",
"2018-2022","Sudan","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,41801.533,"X",,2018,22.545391911,"E",,2018,1216.883086,"X",,2018,1.205536907E10,"X",,2018,6.638028338E9,"X",,2018,2.9843423856E10,"X",,2018,95.690270498,"E",,2018,37.8,"E",,2018,25.91,"I",,2018,0.075,"I",,2018,0.95,"I",,2018,26.935,"I",,2018,644.3543589657,"E",,2018,26.935,"I",,2018,118.6563876652,"E",,2018,2.8187886288,"I",,2018,0.2064455486,"E",,2018,171.2209977746,"E",,2018,60.7720975993,"E",,2018,55.5,"I",,2018,50.2,"I",,2018,66.0,"I",
"2018-2022","Angola","Africa | Sub-Saharan Africa | Central Africa",2018,30809.787,"X",,2018,24.7130721104,"E",,2018,3441.269755,"X",,2018,1.0226882803E10,"X",,2018,4.420706364E10,"X",,2018,5.0804323229E10,"X",,2018,4803.668392774,"E",,2018,148.4,"E",,2018,0.1467,"I",,2018,0.2396,"I",,2018,0.3195,"I",,2018,0.7058,"I",,2018,22.9083050785,"E",,2018,0.7057,"I",,2018,1.8718832891,"E",,2018,147.1659784068,"I",,2018,0.2447928343,"E",,2018,201.6360114963,"E",,2018,173.7773023355,"E",,2018,49.0,"I",,2018,28.2,"I",,2018,75.4,"I",
"2018-2022","Cameroon","Africa | Sub-Saharan Africa | Central Africa",2018,25216.267,"X",,2018,53.0377481911,"E",,2018,1567.94687,"X",,2018,5.580899749E9,"X",,2018,9.474554965E9,"X",,2018,2.0478692101E10,"X",,2018,10826.3447559466,"E",,2018,283.15,"E",,2018,0.737,"I",,2018,0.1046,"I",,2018,0.2468,"I",,2018,1.0884,"E",,2018,43.162614038,"E",,2018,1.0884,"E",,2018,1.5604301075,"E",,2018,24.8172163139,"I",,2018,0.0453761425,"E",,2018,81.5805812478,"E",,2018,74.7337407641,"E",,2018,75.6,"I",,2018,52.7,"I",,2018,94.8,"I",
"2018-2022","Central African Republic","Africa | Sub-Saharan Africa | Central Africa",2018,4666.368,"X",,2018,7.4903977656,"E",,2018,473.499434,"X",,2018,6.981953335E8,"X",,2018,5.564372915E8,"X",,2018,9.631519826E8,"X",,2018,30216.2195523371,"E",,2018,141.0,"E",,2018,4.0E-4,"I",,2018,0.012,"I",,2018,0.0601,"I",,2018,0.0725,"I",,2018,15.5367086351,"E",,2018,0.0725,"I",,2018,0.3356481481,"E",,2018,18.1740453529,"E",,2018,0.1288141593,"E",,2018,40.205122811,"E",,2018,13.8952627069,"E",,2018,68.5,"I",,2018,54.4,"I",,2018,89.6,"I",
